id,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,label
262,0.7669,0.3117,0.7273,0.6485,0.9991,0.1424,0.9,0.9717,0.9286,0.7547,0
263,0.8535,0.6265,0.2324,0.9261,0.8181,0.7863,0.537,0.8868,0.7511,0.5709,1
264,0.1028,0.2668,0.8324,0.7813,0.493,0.7019,0.4958,0.7654,0.2897,0.9036,0
265,0.1565,0.2737,0.8065,0.939,0.0574,0.7683,0.1444,0.1699,0.2213,0.2175,0
266,0.1752,0.1657,0.6614,0.7205,0.7217,0.8085,0.4726,0.4972,0.2413,0.0799,0
267,0.5386,0.4428,0.6508,0.3193,0.9488,0.1402,0.9506,0.8068,0.9537,0.132,1
268,0.7862,0.6814,0.7792,0.7011,0.52,0.1162,0.1911,0.7434,0.4907,0.9941,0
269,0.1788,0.7798,0.3977,0.6463,0.996,0.914,0.8459,0.3529,0.5697,0.1305,0
270,0.7538,0.7324,0.2622,0.1448,0.4037,0.4667,0.0414,0.8235,0.0576,0.9852,0
271,0.2987,0.6167,0.4737,0.5916,0.3571,0.2376,0.0022,0.1022,0.1776,0.1927,0
272,0.5619,0.3661,0.7908,0.9541,0.6299,0.3347,0.0572,0.5002,0.396,0.9036,0
273,0.135,0.5366,0.2305,0.7583,0.5922,0.2267,0.8085,0.7405,0.554,0.2972,1
274,0.8369,0.7913,0.9873,0.0751,0.9444,0.3228,0.4486,0.3625,0.1372,0.056,0
275,0.1036,0.476,0.9099,0.8116,0.9873,0.8441,0.8609,0.4443,0.6118,0.5991,1
276,0.2871,0.2195,0.3833,0.9556,0.5522,0.6637,0.8706,0.6783,0.4998,0.066,0
277,0.7884,0.2196,0.6369,0.0149,0.7968,0.8687,0.8074,0.6581,0.248,0.8648,1
278,0.9872,0.978,0.2419,0.6278,0.4025,0.9424,0.592,0.7185,0.8389,0.1517,1
279,0.6769,0.0039,0.0492,0.1667,0.7236,0.704,0.6704,0.5842,0.0617,0.1045,1
280,0.3528,0.8831,0.8444,0.2332,0.255,0.2301,0.0528,0.9029,0.4353,0.1907,0
281,0.7781,0.4561,0.7045,0.1323,0.5124,0.7097,0.7088,0.3371,0.0632,0.914,1
282,0.5644,0.2473,0.3576,0.8267,0.6456,0.3763,0.5106,0.3246,0.2073,0.5698,1
283,0.9734,0.1405,0.8458,0.4576,0.1087,0.5064,0.7168,0.7166,0.3513,0.6967,0
284,0.3329,0.577,0.7178,0.5849,0.0701,0.5745,0.3384,0.8516,0.8294,0.9306,0
285,0.3789,0.4848,0.9545,0.6804,0.7349,0.2868,0.6745,0.9455,0.2548,0.9221,1
286,0.6842,0.8741,0.8103,0.9973,0.2096,0.7963,0.1284,0.5808,0.5525,0.1177,0
287,0.1872,0.9283,0.855,0.2959,0.549,0.1259,0.3296,0.2611,0.5809,0.4561,0
288,0.1011,0.4569,0.0722,0.171,0.3487,0.7028,0.1778,0.4203,0.0984,0.6684,0
289,0.6515,0.8809,0.1424,0.9679,0.9957,0.5587,0.5161,0.2779,0.0883,0.4998,0
290,0.0875,0.4153,0.4269,0.9833,0.659,0.6754,0.6848,0.6502,0.3832,0.3983,0
291,0.0827,0.7813,0.2306,0.3604,0.2502,0.5628,0.7511,0.771,0.7992,0.9786,1
292,0.1114,0.0467,0.311,0.3688,0.8553,0.5225,0.241,0.1205,0.2204,0.1984,0
293,0.6103,0.4949,0.5589,0.2016,0.8674,0.6112,0.5224,0.6796,0.6975,0.8591,1
294,0.5601,0.6407,0.2771,0.3869,0.4019,0.2261,0.3099,0.5626,0.1727,0.5636,1
295,0.3924,0.4926,0.1708,0.1257,0.765,0.0027,0.5538,0.2639,0.7955,0.6258,0
296,0.3799,0.2346,0.9596,0.9172,0.2009,0.6907,0.5689,0.0598,0.4223,0.3775,1
297,0.5551,0.1305,0.7644,0.3739,0.413,0.2758,0.7663,0.7325,0.4682,0.4337,0
298,0.2856,0.7963,0.2944,0.4867,0.3634,0.2838,0.1611,0.4977,0.3875,0.2614,1
299,0.473,0.6846,0.3865,0.1987,0.2797,0.8544,0.1758,0.2494,0.2455,0.2772,0
300,0.0593,0.6604,0.9464,0.3507,0.9037,0.6547,0.2996,0.0976,0.5628,0.7184,0
301,0.7361,0.6721,0.1019,0.3908,0.3229,0.8988,0.7809,0.8749,0.9577,0.6961,0
302,0.9732,0.7267,0.7617,0.3568,0.9377,0.445,0.4321,0.5865,0.4641,0.3025,1
303,0.4868,0.1112,0.8846,0.6859,0.9432,0.3217,0.1488,0.4157,0.3535,0.7097,0
304,0.2747,0.6768,0.1006,0.9618,0.6381,0.218,0.0367,0.883,0.3954,0.1632,1
305,0.8903,0.7766,0.5825,0.8531,0.4807,0.0867,0.643,0.9776,0.8046,0.8619,1
306,0.07,0.0559,0.8599,0.0588,0.8129,0.1528,0.3737,0.8369,0.5741,0.8938,0
307,0.1539,0.4477,0.9338,0.0122,0.1841,0.3376,0.0279,0.2719,0.3664,0.6638,0
308,0.0291,0.792,0.607,0.2739,0.2937,0.7242,0.4908,0.9421,0.6655,0.6615,0
309,0.2904,0.6761,0.8509,0.0673,0.4859,0.372,0.2742,0.2237,0.2866,0.9806,1
310,0.1396,0.6643,0.8304,0.7259,0.2711,0.4052,0.9102,0.6816,0.7796,0.6559,0
311,0.0969,0.1826,0.5609,0.0217,0.0955,0.1448,0.6347,0.4632,0.9744,0.5537,0
312,0.6085,0.7249,0.9886,0.5635,0.883,0.7067,0.889,0.493,0.5848,0.3061,1
313,0.6047,0.9683,0.7737,0.726,0.0227,0.2033,0.0573,0.4213,0.3572,0.9045,0
314,0.1773,0.119,0.1204,0.943,0.32,0.7621,0.6017,0.8683,0.4871,0.0941,0
315,0.5125,0.7215,0.4927,0.5384,0.3948,0.251,0.5282,0.7699,0.3989,0.8477,1
316,0.3117,0.796,0.0389,0.6502,0.7096,0.3099,0.5561,0.1165,0.1253,0.2784,1
317,0.2259,0.0771,0.515,0.0656,0.6401,0.1818,0.2098,0.8791,0.2611,0.7725,0
318,0.6421,0.1283,0.7189,0.9053,0.0329,0.611,0.5538,0.7936,0.3875,0.9937,0
319,0.6153,0.1363,0.3112,0.1016,0.6415,0.9282,0.2229,0.2344,0.1652,0.6017,0
320,0.1185,0.1947,0.3327,0.1491,0.6615,0.3132,0.1884,0.6419,0.2549,0.3877,0
321,0.7773,0.7648,0.9614,0.7257,0.2419,0.692,0.2161,0.9462,0.129,0.1282,1
322,0.4005,0.1197,0.8635,0.5644,0.959,0.3679,0.2675,0.3759,0.8206,0.0867,0
323,0.0337,0.7975,0.1221,0.7237,0.4132,0.7128,0.7137,0.4613,0.7717,0.479,1
324,0.9315,0.1878,0.9543,0.8197,0.955,0.4207,0.3725,0.796,0.5813,0.2765,1
325,0.4538,0.8105,0.5869,0.4783,0.738,0.4818,0.9616,0.7919,0.2648,0.6766,0
326,0.1783,0.0211,0.5062,0.6477,0.6452,0.4429,0.4407,0.1092,0.7429,0.1852,0
327,0.8885,0.625,0.7416,0.5594,0.464,0.2066,0.6288,0.104,0.1174,0.1398,1
328,0.0108,0.0361,0.1718,0.8939,0.9783,0.7151,0.146,0.3382,0.4829,0.7527,0
329,0.4197,0.4155,0.5847,0.2426,0.3407,0.2704,0.2127,0.7965,0.5673,0.0814,1
330,0.9573,0.1824,0.6129,0.9571,0.0681,0.9049,0.9686,0.2858,0.2242,0.9727,1
331,0.2659,0.2083,0.2034,0.1527,0.1573,0.964,0.9217,0.861,0.7176,0.934,1
332,0.566,0.1932,0.9773,0.9153,0.212,0.7007,0.7229,0.7415,0.1062,0.464,1
333,0.984,0.1599,0.0608,0.9375,0.6215,0.8883,0.9253,0.3848,0.9689,0.2017,0
334,0.9318,0.8251,0.9441,0.4264,0.1217,0.1128,0.4218,0.0472,0.0765,0.1627,0
335,0.3753,0.2895,0.377,0.5651,0.45,0.2488,0.653,0.1015,0.6568,0.0181,0
336,0.959,0.3477,0.7622,0.8489,0.2456,0.8681,0.3555,0.9892,0.0123,0.828,0
337,0.3059,0.6882,0.0438,0.2385,0.2064,0.207,0.9018,0.4749,0.9827,0.9234,0
338,0.6071,0.5421,0.6192,0.8236,0.5442,0.7645,0.556,0.7004,0.1391,0.0921,1
339,0.2755,0.6067,0.2068,0.5725,0.6706,0.5597,0.5459,0.626,0.0325,0.6561,1
340,0.6541,0.1558,0.0821,0.0541,0.4326,0.0323,0.7427,0.7403,0.1433,0.2345,1
341,0.2951,0.8629,0.3265,0.9332,0.7371,0.2698,0.8186,0.8662,0.482,0.1442,1
342,0.616,0.6866,0.7528,0.8535,0.4897,0.0809,0.0433,0.8295,0.2075,0.6411,1
343,0.7527,0.3367,0.6519,0.5449,0.1149,0.0642,0.7682,0.1908,0.0888,0.687,0
344,0.2706,0.1335,0.918,0.1696,0.7555,0.6043,0.6996,0.7478,0.4678,0.8628,1
345,0.0176,0.0652,0.9025,0.6875,0.9667,0.0811,0.7564,0.8939,0.693,0.1269,0
346,0.6815,0.997,0.3791,0.8762,0.6604,0.3398,0.8069,0.2845,0.4824,0.1119,1
347,0.8118,0.4065,0.2053,0.652,0.7283,0.5894,0.0843,0.1526,0.6178,0.761,1
348,0.2861,0.7496,0.115,0.4042,0.2589,0.8233,0.9047,0.1636,0.1656,0.0548,0
349,0.0429,0.368,0.2891,0.2156,0.3013,0.6698,0.9483,0.6672,0.3399,0.9007,0
350,0.8166,0.1186,0.1779,0.6938,0.431,0.257,0.4599,0.4304,0.6683,0.3276,0
351,0.0607,0.7817,0.2744,0.3454,0.436,0.5723,0.2724,0.1052,0.106,0.3156,0
352,0.2791,0.9795,0.5259,0.312,0.4545,0.3286,0.8576,0.3444,0.079,0.1053,0
353,0.1037,0.8788,0.5628,0.6048,0.6558,0.6604,0.9874,0.8317,0.0387,0.6871,1
354,0.2577,0.2509,0.1371,0.5296,0.9216,0.7354,0.3234,0.0436,0.7572,0.267,1
355,0.3551,0.8864,0.4859,0.8625,0.2496,0.6348,0.7133,0.7347,0.7539,0.1188,0
356,0.3642,0.0453,0.1995,0.4382,0.2677,0.7587,0.8193,0.9716,0.6949,0.4419,1
357,0.1463,0.4663,0.3194,0.2709,0.2153,0.7567,0.5535,0.5668,0.1876,0.5184,1
358,0.1388,0.9695,0.2882,0.033,0.4724,0.1501,0.993,0.7762,0.7848,0.5958,1
359,0.1771,0.2915,0.9677,0.4686,0.4356,0.1999,0.0964,0.5189,0.9321,0.875,1
360,0.1493,0.3538,0.2619,0.7605,0.777,0.5785,0.3736,0.7998,0.7568,0.2019,1
361,0.8699,0.7117,0.0636,0.1569,0.8947,0.5149,0.679,0.0862,0.6308,0.8932,0
362,0.1595,0.3781,0.5224,0.8134,0.9888,0.7043,0.3088,0.2871,0.9359,0.7534,0
363,0.3465,0.2715,0.5849,0.1625,0.3115,0.6848,0.1716,0.7725,0.1784,0.2644,1
364,0.51,0.9157,0.301,0.5111,0.6907,0.326,0.6231,0.982,0.5295,0.3641,1
365,0.5472,0.0547,0.8656,0.3234,0.8727,0.4403,0.7764,0.6086,0.2609,0.5415,1
366,0.9392,0.8451,0.8364,0.4839,0.323,0.4157,0.6553,0.775,0.9632,0.8027,0
367,0.8882,0.508,0.4699,0.4699,0.02,0.4167,0.7714,0.2905,0.4731,0.0707,0
368,0.1079,0.8469,0.5736,0.2648,0.4595,0.316,0.2286,0.8981,0.4306,0.8772,0
369,0.7241,0.5297,0.3214,0.1456,0.8611,0.127,0.9187,0.3084,0.452,0.8406,1
370,0.5459,0.8399,0.3584,0.8379,0.0122,0.0434,0.3496,0.0259,0.27,0.3614,0
371,0.2878,0.4726,0.3678,0.6632,0.9996,0.6503,0.9049,0.8118,0.2125,0.9012,0
372,0.9223,0.223,0.9707,0.1669,0.4564,0.5114,0.4255,0.4763,0.0207,0.5817,0
373,0.9479,0.8264,0.6058,0.6264,0.8665,0.0071,0.3969,0.1263,0.5258,0.6721,1
374,0.3179,0.4723,0.239,0.207,0.8804,0.5584,0.5179,0.2418,0.0834,0.2642,1
375,0.7401,0.6287,0.0355,0.3576,0.5923,0.0316,0.7338,0.1846,0.6745,0.6791,0
376,0.299,0.1284,0.9392,0.4749,0.4344,0.6799,0.0951,0.0336,0.8514,0.405,0
377,0.4252,0.8427,0.8075,0.2259,0.4454,0.662,0.798,0.0491,0.5104,0.7548,0
378,0.1144,0.5344,0.5297,0.8943,0.5425,0.2914,0.9754,0.4281,0.0218,0.7528,0
379,0.4603,0.9729,0.6582,0.1778,0.3273,0.5967,0.3202,0.0011,0.5813,0.9687,1
380,0.7445,0.5438,0.7123,0.6474,0.6321,0.8649,0.5566,0.7996,0.008,0.5263,0
381,0.3131,0.3326,0.0985,0.029,0.685,0.4298,0.6927,0.7007,0.3401,0.1856,1
382,0.7288,0.3259,0.8028,0.3848,0.7387,0.9097,0.3108,0.2589,0.9823,0.4348,1
383,0.3728,0.8863,0.2168,0.6478,0.0176,0.8579,0.5993,0.9902,0.1588,0.3781,0
384,0.5545,0.7657,0.5681,0.1147,0.5363,0.1807,0.1278,0.4093,0.3605,0.7798,1
385,0.5403,0.9313,0.4117,0.753,0.2863,0.105,0.0478,0.2928,0.9442,0.3657,0
386,0.058,0.1448,0.0602,0.7777,0.8869,0.3182,0.1713,0.6116,0.3719,0.2897,1
387,0.0601,0.0613,0.6735,0.7047,0.3153,0.1934,0.9905,0.2141,0.6644,0.7522,1
388,0.7664,0.7395,0.2649,0.0242,0.0163,0.7212,0.2727,0.679,0.863,0.7764,1
389,0.4985,0.2924,0.5175,0.9023,0.7356,0.8937,0.3793,0.2355,0.1995,0.6043,1
390,0.6308,0.4688,0.5561,0.2163,0.9105,0.2891,0.3247,0.459,0.2155,0.4955,1
391,0.1537,0.5738,0.9144,0.1125,0.3739,0.5709,0.5931,0.0085,0.8301,0.9774,0
392,0.28,0.6999,0.0078,0.8157,0.5875,0.7862,0.2684,0.2314,0.929,0.3156,0
393,0.3936,0.0245,0.8736,0.4978,0.9048,0.5412,0.5481,0.2856,0.6328,0.11,0
394,0.7624,0.3357,0.8384,0.5367,0.3983,0.4311,0.4954,0.0064,0.4673,0.0635,0
395,0.8854,0.5345,0.9242,0.6794,0.9523,0.3284,0.3495,0.478,0.2075,0.6991,1
396,0.7176,0.3292,0.3778,0.2732,0.5166,0.364,0.1263,0.0354,0.852,0.0143,1
397,0.6219,0.9622,0.179,0.7779,0.1716,0.2276,0.7136,0.2282,0.8442,0.3416,1
398,0.2919,0.6564,0.7505,0.4924,0.0046,0.0763,0.0166,0.9146,0.7535,0.4578,1
399,0.9345,0.9458,0.9293,0.711,0.4221,0.188,0.2075,0.2272,0.2295,0.3076,0
400,0.0552,0.4587,0.0581,0.6483,0.1287,0.9627,0.2914,0.4154,0.9205,0.3866,1
401,0.0687,0.2974,0.11,0.5258,0.7198,0.9962,0.7983,0.8265,0.3098,0.404,0
402,0.3854,0.83,0.8927,0.63,0.4045,0.3013,0.7029,0.7461,0.1725,0.5781,0
403,0.7761,0.9587,0.9201,0.4579,0.8941,0.2688,0.0424,0.189,0.5798,0.0821,0
404,0.5398,0.8185,0.1496,0.0824,0.1816,0.867,0.7165,0.2564,0.0046,0.4893,1
405,0.6753,0.836,0.3805,0.1124,0.6909,0.3263,0.8826,0.7979,0.2726,0.4223,0
406,0.5989,0.0889,0.591,0.7346,0.9213,0.7397,0.7819,0.1952,0.2831,0.8265,0
407,0.1722,0.8738,0.8772,0.5207,0.0484,0.5075,0.1338,0.0668,0.1125,0.6896,0
408,0.0157,0.782,0.5427,0.063,0.7369,0.996,0.2739,0.3971,0.87,0.3854,0
409,0.8251,0.8293,0.7474,0.6522,0.908,0.8466,0.7719,0.192,0.029,0.5044,1
410,0.2227,0.4293,0.0651,0.0221,0.4049,0.8511,0.4222,0.0543,0.836,0.7426,1
411,0.2442,0.1953,0.8161,0.7936,0.5633,0.6547,0.6429,0.868,0.6122,0.6936,1
412,0.9544,0.474,0.2987,0.3395,0.0274,0.4428,0.7481,0.7383,0.5878,0.9362,1
413,0.5999,0.3333,0.5196,0.5015,0.2659,0.588,0.1623,0.6519,0.2695,0.8956,0
414,0.4552,0.0445,0.3547,0.7034,0.981,0.0676,0.1591,0.4861,0.2876,0.1914,1
415,0.4797,0.9036,0.966,0.12,0.514,0.8689,0.6075,0.6573,0.9224,0.0527,0
416,0.8534,0.5766,0.4996,0.6263,0.2928,0.5999,0.0655,0.2735,0.7782,0.4943,0
417,0.1739,0.7314,0.7469,0.9017,0.9217,0.5514,0.7945,0.9117,0.1931,0.7267,1
418,0.8026,0.1832,0.1625,0.9126,0.0176,0.2254,0.5438,0.4742,0.202,0.8763,1
419,0.4106,0.9193,0.5641,0.326,0.7034,0.5601,0.4868,0.6952,0.7244,0.3821,1
420,0.8156,0.2935,0.9238,0.4032,0.989,0.2902,0.742,0.4733,0.8894,0.9807,1
421,0.0245,0.9966,0.5268,0.3665,0.6508,0.0205,0.3777,0.7137,0.0006,0.6124,1
422,0.0551,0.0429,0.4425,0.4111,0.9516,0.552,0.2437,0.0246,0.5464,0.8951,0
423,0.452,0.684,0.0277,0.4674,0.0407,0.0705,0.1318,0.0831,0.374,0.605,0
424,0.0579,0.0042,0.5818,0.4613,0.4224,0.7202,0.4578,0.1926,0.9948,0.9646,1
425,0.0885,0.6203,0.846,0.3906,0.9963,0.0887,0.8455,0.1677,0.8032,0.6604,1
426,0.1072,0.623,0.8981,0.3345,0.7159,0.498,0.3325,0.5501,0.7268,0.4829,1
427,0.4578,0.1832,0.6187,0.7552,0.4433,0.7541,0.9723,0.9556,0.1552,0.2394,0
428,0.8034,0.6281,0.319,0.3398,0.7596,0.6253,0.6121,0.7886,0.4804,0.5103,0
429,0.1124,0.2674,0.8152,0.9364,0.219,0.5689,0.5314,0.4923,0.57,0.0682,0
430,0.6035,0.1054,0.8502,0.0203,0.3611,0.8956,0.702,0.7166,0.8618,0.3385,0
431,0.6061,0.7778,0.6016,0.2042,0.7483,0.6528,0.3258,0.3494,0.3647,0.5019,1
432,0.1059,0.942,0.4738,0.9848,0.428,0.0829,0.4809,0.5771,0.354,0.5965,1
433,0.9675,0.7749,0.2587,0.6405,0.0074,0.8627,0.3503,0.8425,0.122,0.2082,0
434,0.6168,0.2205,0.0119,0.195,0.0077,0.2367,0.5428,0.7962,0.821,0.9764,1
435,0.4439,0.1527,0.7671,0.4609,0.0797,0.3576,0.2889,0.0151,0.4167,0.7488,0
436,0.2284,0.8519,0.193,0.7123,0.0728,0.459,0.27,0.579,0.0091,0.849,0
437,0.1053,0.6061,0.5891,0.5322,0.1527,0.0429,0.3631,0.4314,0.663,0.2584,0
438,0.4862,0.8075,0.9796,0.0627,0.4366,0.4923,0.6005,0.5567,0.7401,0.5268,1
439,0.0467,0.4508,0.4554,0.5104,0.8771,0.5416,0.6726,0.8884,0.4807,0.1799,1
440,0.6688,0.426,0.8465,0.7742,0.9423,0.7835,0.7779,0.6435,0.7316,0.405,0
441,0.3798,0.7636,0.8305,0.8174,0.3593,0.6837,0.8545,0.8076,0.979,0.8578,1
442,0.3568,0.3403,0.2886,0.9819,0.6186,0.8832,0.6428,0.4343,0.9131,0.13,0
443,0.4551,0.0645,0.6295,0.0474,0.1052,0.5704,0.5428,0.4047,0.9208,0.4932,0
444,0.0227,0.4173,0.7879,0.5433,0.0117,0.997,0.5908,0.6424,0.5273,0.2164,1
445,0.0558,0.8005,0.1026,0.8962,0.8518,0.1945,0.7125,0.4168,0.4762,0.7001,1
446,0.3788,0.9164,0.8117,0.1637,0.6531,0.1387,0.5886,0.9596,0.838,0.1045,1
447,0.0873,0.3249,0.8219,0.614,0.6081,0.8647,0.1112,0.7136,0.2015,0.0618,1
448,0.3942,0.5497,0.2584,0.3263,0.5363,0.4336,0.7228,0.0375,0.0461,0.3042,0
449,0.2691,0.3124,0.1518,0.3025,0.4397,0.4302,0.9825,0.9356,0.9653,0.5981,0
450,0.1146,0.8681,0.6791,0.8859,0.0281,0.8153,0.8322,0.8846,0.6238,0.4868,0
451,0.9923,0.5325,0.0558,0.8401,0.9258,0.8526,0.4955,0.0248,0.0216,0.8127,0
452,0.8357,0.0844,0.1997,0.8305,0.1552,0.9289,0.5462,0.4662,0.8984,0.5867,0
453,0.1446,0.0217,0.543,0.7637,0.5174,0.2843,0.7246,0.0418,0.0759,0.9107,0
454,0.5432,0.2339,0.5708,0.2497,0.3554,0.1517,0.9913,0.3159,0.0485,0.9033,1
455,0.5835,0.3467,0.3158,0.655,0.6955,0.5776,0.5589,0.4682,0.2215,0.9074,0
456,0.7928,0.6233,0.0555,0.4855,0.4877,0.2614,0.6085,0.397,0.7114,0.1295,0
457,0.6321,0.2515,0.7439,0.6141,0.1438,0.0486,0.4195,0.649,0.4865,0.0248,0
458,0.7882,0.6931,0.5931,0.2049,0.5086,0.6971,0.4562,0.6159,0.6484,0.8282,1
459,0.4259,0.073,0.2958,0.8373,0.9987,0.5054,0.4674,0.7717,0.0903,0.3793,1
460,0.2356,0.9235,0.6044,0.1849,0.1046,0.372,0.2307,0.3524,0.7019,0.3908,0
461,0.0872,0.3616,0.6725,0.0056,0.2741,0.2782,0.2565,0.3409,0.1981,0.5509,1
462,0.344,0.285,0.7354,0.1359,0.8787,0.8844,0.6751,0.902,0.064,0.2838,1
463,0.494,0.2803,0.5027,0.8436,0.5245,0.8273,0.6984,0.1733,0.8966,0.9068,0
464,0.9251,0.4163,0.4149,0.1309,0.5949,0.0823,0.7472,0.5714,0.7456,0.609,0
465,0.5692,0.7894,0.1905,0.5309,0.9425,0.9786,0.4957,0.7338,0.0298,0.4063,1
466,0.5079,0.0223,0.731,0.2079,0.5663,0.0415,0.8044,0.728,0.9798,0.5287,0
467,0.0904,0.3563,0.2357,0.6174,0.8305,0.0718,0.0622,0.5304,0.0192,0.4913,1
468,0.5211,0.0796,0.1968,0.8112,0.1234,0.7407,0.0207,0.1752,0.8657,0.9234,1
469,0.4903,0.1219,0.6058,0.601,0.3533,0.5361,0.0402,0.1716,0.8779,0.1209,0
470,0.0385,0.8554,0.6006,0.0883,0.1961,0.0243,0.8965,0.8597,0.2032,0.3244,0
471,0.7204,0.7767,0.2084,0.5732,0.102,0.4865,0.4778,0.8097,0.6408,0.2272,1
472,0.6772,0.0906,0.7621,0.1348,0.3214,0.3567,0.2685,0.2247,0.5464,0.0052,1
473,0.6964,0.6104,0.6904,0.5843,0.1349,0.2203,0.4441,0.5359,0.9448,0.9223,0
474,0.9364,0.6167,0.5644,0.436,0.4421,0.3967,0.9476,0.2791,0.127,0.1767,0
475,0.8667,0.8869,0.412,0.3843,0.9181,0.6793,0.3873,0.1805,0.0437,0.3438,1
476,0.0894,0.2056,0.3654,0.8055,0.7293,0.1311,0.9161,0.7722,0.3891,0.3056,1
477,0.6428,0.2906,0.7457,0.0127,0.2539,0.0367,0.5609,0.2967,0.3177,0.4302,1
478,0.1021,0.4565,0.6827,0.2746,0.7381,0.2564,0.2675,0.7282,0.3185,0.4115,0
479,0.7995,0.6366,0.7106,0.6992,0.0704,0.1544,0.2447,0.8451,0.7496,0.1582,1
480,0.7843,0.1306,0.7288,0.4733,0.3683,0.3254,0.0102,0.739,0.7179,0.2823,0
481,0.3429,0.4542,0.8302,0.1661,0.2119,0.2569,0.1809,0.931,0.9443,0.1351,1
482,0.4432,0.9107,0.3496,0.1931,0.4565,0.4242,0.0274,0.9701,0.8114,0.6464,1
483,0.7975,0.9038,0.4409,0.1758,0.956,0.884,0.6746,0.9772,0.8163,0.055,0
484,0.3268,0.6357,0.5879,0.195,0.7179,0.0305,0.3116,0.9586,0.9892,0.9428,1
485,0.0595,0.1493,0.0347,0.9099,0.0851,0.0912,0.0877,0.3463,0.6499,0.2998,1
486,0.5249,0.4662,0.2033,0.0756,0.0063,0.0386,0.6556,0.8075,0.7305,0.3702,0
487,0.3884,0.9911,0.5319,0.5121,0.2238,0.5395,0.5819,0.6106,0.4611,0.1707,1
488,0.2372,0.5993,0.302,0.285,0.3022,0.1308,0.2293,0.59,0.8241,0.3816,1
489,0.3265,0.2258,0.5254,0.0303,0.4839,0.4185,0.403,0.7428,0.3592,0.451,0
490,0.5832,0.4396,0.7717,0.535,0.023,0.8921,0.5114,0.4508,0.7625,0.1961,0
491,0.5307,0.5374,0.9087,0.4234,0.6491,0.8978,0.4214,0.9475,0.3775,0.8709,0
492,0.8195,0.481,0.2822,0.7578,0.4706,0.3018,0.301,0.6304,0.6464,0.5223,0
493,0.9244,0.3889,0.7575,0.6907,0.5905,0.3688,0.7095,0.9334,0.9937,0.5978,0
494,0.7165,0.1769,0.3703,0.0071,0.7853,0.8592,0.2602,0.0927,0.2941,0.0223,0
495,0.2971,0.7307,0.1102,0.1778,0.8324,0.4658,0.9819,0.4544,0.0024,0.7284,0
496,0.7351,0.6227,0.3811,0.4253,0.8356,0.6497,0.6197,0.7708,0.3068,0.8832,0
497,0.1892,0.6491,0.0858,0.8031,0.2452,0.7853,0.5679,0.0189,0.9677,0.6206,1
498,0.0608,0.8508,0.5681,0.6453,0.0068,0.5654,0.8369,0.3912,0.6094,0.5384,0
499,0.1232,0.2145,0.6686,0.5131,0.2797,0.899,0.5255,0.9161,0.4272,0.1314,1
